Phrase,Count,PMI
"('being', 'able', 'to')",82,11.075625248189539
"('to', 'create', 'a')",81,7.0794901219073765
"('i', 'believe', 'that')",81,12.615966562953616
"('in', 'high', 'school')",81,10.245271575262656
"('career', 'at', 'a')",81,10.914406150574266
"('the', 'development', 'of')",80,7.987387885025235
"('have', 'access', 'to')",80,9.234579836819272
"('positive', 'and', 'negative')",79,11.017650141925209
"('there', 'is', 'a')",79,7.320927219547407
"('however', 'there', 'are')",79,12.468787783554134
"('can', 'provide', 'a')",78,7.6363354219013075
"('that', 'it', 'is')",78,6.096987343432595
"('in', 'the', 'world')",78,6.998572774721872
"('there', 'are', 'several')",77,13.841904394270859
"('there', 'are', 'many')",77,12.126077567162802
"('it', 'is', 'a')",77,4.923616087973542
"('the', 'long', 'run')",77,14.451107291174651
"('a', 'positive', 'outlook')",77,12.855552141201933
"('the', 'lack', 'of')",76,7.795261202719345
"('better', 'understanding', 'of')",76,11.593718620953986
"('this', 'can', 'be')",76,7.479319201126749
"('a', 'better', 'understanding')",76,11.615903832364289
"('at', 'the', 'same')",76,11.37862458
"('physical', 'and', 'mental')",76,12.905882302925992
"('be', 'attributed', 'to')",75,10.978263860088255
"('however', 'it', 'is')",75,9.04594515
"('opportunity', 'to', 'learn')",75,11.322095928131105
"('there', 'are', 'some')",75,12.27090183539454
"('in', 'recent', 'years')",74,15.344488693471636
"('has', 'the', 'potential')",74,9.189895188605703
"(',', 'there', 'are')",74,9.712621377325888
"('to', 'learn', 'and')",74,6.068913133434748
"('with', 'the', 'right')",73,9.382534334861269
"('is', 'a', 'great')",73,8.688351024357864
"('but', 'it', 'is')",73,8.605964512850463
"('that', 'can', 'help')",73,7.908604942055241
"('can', 'be', 'attributed')",73,12.391685637946203
"('also', 'important', 'to')",73,7.946156291024231
"('as', 'a', 'result')",73,10.504700171006206
"('is', 'also', 'important')",72,9.547639556291685
"('the', 'same', 'time')",72,10.375468748961381
"('around', 'the', 'world')",72,11.445352803402393
"('the', 'chance', 'to')",72,7.715038166124337
"('need', 'to', 'be')",72,8.38550566
"('when', 'faced', 'with')",72,13.803419304468061
"('high', 'school', 'students')",71,11.511786912888489
"('be', 'used', 'to')",71,8.536622209712355
"('committing', 'to', 'a')",70,9.541348477939216
"('with', 'a', 'positive')",70,7.880523314409103
"('first', 'impressions', 'are')",70,15.277001058830368
"('be', 'beneficial', 'in')",70,9.231789583177985
"('it', 'is', 'the')",70,4.110780340453019
"('allows', 'students', 'to')",70,8.886804455089731
"('however', ',', 'it')",69,9.488962982253632
"('of', 'the', 'world')",69,6.433465724717479
"('extending', 'the', 'school')",69,11.985393769233184
"('have', 'a', 'positive')",69,8.202594211186693
"('high', 'school', 'in')",69,10.013946029156195
"('the', 'risk', 'of')",68,8.377823877479507
"('is', 'that', 'it')",68,5.899047965820685
"('face', 'to', 'face')",68,12.786512162207657
"('no', 'matter', 'how')",68,17.927642967541743
"('also', 'lead', 'to')",67,8.875874530955386
"('students', 'who', 'are')",67,9.995242387
"('can', 'help', 'students')",66,8.431081222757754
"('in', 'the', 'end')",66,8.69292721
"('family', 'and', 'friends')",65,12.725048737042478
"('which', 'can', 'be')",65,8.480541121673127
"('have', 'shown', 'that')",65,12.463129177077182
"('students', 'and', 'teachers')",65,8.995897012008442
"('to', 'learn', 'from')",65,8.913513450989562
"('classes', 'from', 'home')",64,14.70977365524644
"('can', 'not', 'be')",63,7.381443850654115
"('allows', 'them', 'to')",63,10.147562546851312
"('be', 'beneficial', 'for')",63,9.893499131738523
"('studies', 'have', 'shown')",63,16.72023539090888
"('can', 'make', 'it')",62,7.752167236756833
"('the', 'concept', 'of')",62,8.931769906
"('on', 'their', 'own')",62,9.681671947376515
"('for', 'example', 'if')",62,12.146436350344509
"('ultimately', 'it', 'is')",62,9.255434169544515
"('a', 'chance', 'to')",62,8.174641698839487
"('come', 'up', 'with')",62,13.572384621990473
"('and', 'it', 'is')",61,3.991271341305861
"('both', 'positive', 'and')",61,9.507103207561059
"('important', 'to', 'be')",61,6.298473183942484
"('school', 'in', 'three')",61,11.618202743469332
"('the', 'idea', 'of')",61,7.990054082202697
"('and', 'mental', 'health')",61,13.059997845970877
"('taking', 'the', 'time')",61,8.947876663031984
"('the', 'potential', 'for')",60,6.932875557541053
"('important', 'part', 'of')",60,10.506671870514488
"('some', 'of', 'the')",60,5.867750317245523
"('this', 'can', 'lead')",60,9.853219143
"('with', 'their', 'peers')",60,11.802485900640484
"('friends', 'and', 'family')",60,12.609571519622541
"('positive', 'impact', 'on')",60,12.649662298602216
"('in', 'a', 'world')",60,7.295393375238731
"('therefore', 'it', 'is')",60,11.134127873322385
"('and', 'a', 'half')",59,9.304922774459158
"('the', 'key', 'to')",59,6.730079751
"('make', 'the', 'most')",59,9.964017527420232
"('impact', 'on', 'the')",59,8.518171572
"('benefits', 'and', 'drawbacks')",59,12.143408340898326
"('to', 'understand', 'the')",59,6.567055251455415
"('in', 'the', 'states')",59,8.791238978957644
"('in', 'extracurricular', 'activities')",59,12.70732107745889
"('first', 'impressions', 'can')",59,13.873830526245477
"('can', 'be', 'seen')",58,10.819443864802992
"('the', 'process', 'of')",58,7.021230113453399
"('is', 'true', 'that')",58,9.695044840014837
"('they', 'need', 'to')",58,9.41083707
"('be', 'seen', 'as')",58,11.75877371940851
"('it', 'is', 'true')",58,9.640968852346113
"('depending', 'on', 'the')",58,10.846832808465372
"('of', 'our', 'lives')",58,9.732352748276341
"('is', 'an', 'essential')",58,10.428504268108135
"('but', 'it', 'can')",57,8.080063054903839
"('graduating', 'high', 'school')",57,15.70166714
"('is', 'possible', 'to')",57,8.171927366308992
"('to', 'the', 'school')",57,3.701502225944459
"('that', 'we', 'can')",57,7.168175366571987
"('take', 'advantage', 'of')",57,12.56189907211418
"('a', 'few', 'reasons')",56,14.320385451848114
"('can', 'also', 'lead')",56,10.069556172029031
"('to', 'take', 'a')",56,5.466963707143144
"('of', 'their', 'own')",56,7.762339200494836
"('and', 'can', 'be')",56,3.9839851531057775
"('a', 'group', 'can')",56,8.248624861801112
"('miss', 'out', 'on')",55,16.488365480239004
"('other', 'hand', 'there')",55,13.624836444404806
"('an', 'important', 'part')",55,12.638316505847627
"('the', 'most', 'important')",55,9.599851880529947
"('it', 'difficult', 'to')",55,7.267707074077279
"('in', 'conclusion', 'it')",55,9.136932475132411
"('access', 'to', 'a')",55,6.652856793156204
"('part', 'of', 'life')",55,10.667946086824138
"('has', 'shown', 'that')",55,13.315179994832846
"(',', 'and', 'the')",55,2.6291939698345885
"('a', 'good', 'attitude')",54,11.853679333580885
"('whether', 'or', 'not')",54,12.948876847540618
"('for', 'those', 'who')",54,11.334056401023744
"('take', 'the', 'time')",54,8.248388842
"('have', 'the', 'opportunity')",53,8.352268954
"('can', 'create', 'a')",53,7.919976483059763
"('when', 'i', 'was')",53,11.115083029392181
"('students', 'with', 'the')",53,5.194579868724325
"('allowing', 'us', 'to')",53,10.123375048460723
"('working', 'in', 'groups')",53,13.786492899090074
"('be', 'beneficial', 'to')",53,7.778145944176742
"('aware', 'of', 'the')",53,8.633940788736439
"('help', 'us', 'to')",53,8.212109805668227
"('the', 'consequences', 'of')",53,7.908656999617868
"('i', 'was', 'able')",53,13.032551984102632
"('conclusion', 'it', 'is')",52,9.625114226
"(',', 'it', ""'s"")",52,9.687386274618987
"('in', 'today', 's')",52,11.80406578028532
"('to', 'be', 'a')",52,3.0209495832511166
"('to', 'strive', 'for')",52,9.243898876089546
"('this', 'type', 'of')",52,11.628365309113356
"('a', 'range', 'of')",52,8.628658272722184
"('it', 'may', 'be')",52,7.826478266632833
"('in', 'addition', 'to')",52,7.921172586596093
"('failure', 'is', 'not')",52,10.18070158327344
"('can', 'be', 'incredibly')",52,11.026391144931921
"('important', 'to', 'recognize')",51,11.461865385927645
"('a', 'positive', 'impact')",51,10.664890897823085
"('their', 'own', 'pace')",51,15.246474773615454
"('can', 'help', 'you')",51,9.288246445
"('allow', 'students', 'to')",51,9.429946780116254
"('to', 'be', 'more')",51,5.388568536
"('to', 'stay', 'focused')",51,12.814206427469255
"('is', 'one', 'of')",51,6.270445152627289
"('a', 'way', 'to')",51,5.628043043
"('for', 'example', 'a')",50,7.677443414586669
"('for', 'them', 'to')",50,5.993803525963244
"('important', 'to', 'understand')",50,10.050826596908465
"('the', 'lives', 'of')",50,6.374789817389875
"('in', 'life', 'it')",50,7.065615070630756
"('those', 'who', 'are')",50,11.965977844485515
"('the', 'number', 'of')",50,7.817572307151622
"('it', 'is', 'often')",49,8.304387490338712
"('problem', 'solving', 'skills')",49,18.607919876820024
"('the', 'quality', 'of')",49,7.912684064454247
"('the', 'idea', 'that')",49,8.850967377457032
"('the', 'world', 'around')",49,10.890137646075289
"('to', 'connect', 'with')",49,10.512106787131223
"('people', 's', 'lives')",49,13.044261540065573
"('making', 'a', 'decision')",48,11.171555915496931
"('cell', 'phones', 'in')",48,14.358049198700222
"('can', 'help', 'them')",48,9.384410789327099
"('the', 'way', 'we')",48,8.344831708547026
"('which', 'can', 'lead')",48,10.758072668829278
"('be', 'aware', 'of')",48,10.552057788824513
"('the', 'value', 'of')",48,8.562536095919434
"('to', 'take', 'on')",48,6.994877432948805
"('the', 'most', 'of')",48,6.334043475046563
"('students', 'the', 'opportunity')",48,7.990818635820077
"(',', 'which', 'is')",47,8.294444232
"('at', 'their', 'own')",47,11.279899440498873
"('to', 'engage', 'in')",47,8.582676642190243
"('to', 'use', 'their')",47,7.494979121840082
"('can', 'also', 'have')",47,7.757265174326449
"('that', 'they', 'are')",47,7.976076184970793
"('the', 'end', 'of')",47,7.814892654050624
"('an', 'opportunity', 'for')",47,10.227861937553662
"('an', 'individual', 's')",47,11.887492750507263
